datetime,open,high,low,close,tickvol,spread,vol
2023-01-03 08:00:00,1828.22,1849.97,1823.56,1839.51,191064,0,0
2023-01-04 08:00:00,1838.48,1865.12,1836.22,1854.65,185748,0,0
2023-01-05 08:00:00,1854.73,1859.01,1825.08,1832.91,172542,0,0
2023-01-06 08:00:00,1831.83,1869.88,1831.39,1866.43,162710,0,0
2023-01-09 08:00:00,1866.39,1881.53,1866.39,1871.67,163747,0,0
2023-01-10 08:00:00,1870.58,1880.77,1867.86,1876.93,156458,0,0
2023-01-11 08:00:00,1877.13,1886.64,1867.16,1875.69,155861,0,0
2023-01-12 08:00:00,1876.99,1901.6,1872.44,1896.78,178752,0,0
2023-01-13 08:00:00,1895.85,1921.9,1892.36,1920.59,174720,0,0
2023-01-16 08:00:00,1918.37,1928.98,1910.86,1915.49,110469,0,0
2023-01-17 08:00:00,1916.04,1919.05,1903.79,1908.57,164554,0,0
2023-01-18 08:00:00,1908.25,1925.93,1896.62,1904.28,197142,0,0
2023-01-19 08:00:00,1903.32,1935.2,1901.02,1932.11,183622,0,0
2023-01-20 08:00:00,1932.1,1937.54,1920.69,1926.82,161528,0,0
2023-01-23 08:00:00,1924.35,1935.54,1911.42,1930.88,158619,0,0
2023-01-24 08:00:00,1931.03,1942.52,1917.16,1937.28,151031,0,0
2023-01-25 08:00:00,1937.43,1948.04,1919.89,1946.16,151019,0,0
2023-01-26 08:00:00,1946.56,1949.2,1918.62,1929.08,162214,0,0
2023-01-27 08:00:00,1929.18,1934.96,1916.74,1928.8,140306,0,0
2023-01-30 08:00:00,1926.88,1934.51,1920.68,1923.2,149789,0,0
2023-01-31 08:00:00,1922.58,1931.09,1900.82,1928.07,164386,0,0
2023-02-01 08:00:00,1927.57,1954.52,1920.58,1950.14,169610,0,0
2023-02-02 08:00:00,1952.95,1959.67,1911.3,1912.61,212708,0,0
2023-02-03 08:00:00,1912.93,1918.58,1861.4,1865.75,203868,0,0
2023-02-06 08:00:00,1864.28,1881.34,1863.05,1867.62,183870,0,0
2023-02-07 08:00:00,1867.6,1884.44,1864.99,1873.71,189123,0,0
2023-02-08 08:00:00,1872.93,1886.36,1869.1,1875.52,160398,0,0
2023-02-09 08:00:00,1874.94,1890.22,1858.98,1861.58,168851,0,0
2023-02-10 08:00:00,1862.23,1872.17,1852.77,1865.23,180411,0,0
2023-02-13 08:00:00,1864.06,1866.59,1850.48,1853.37,149699,0,0
2023-02-14 08:00:00,1853.58,1870.65,1843.33,1854.38,181507,0,0
2023-02-15 08:00:00,1853.62,1860.12,1830.51,1835.86,172781,0,0
2023-02-16 08:00:00,1836.57,1845.3,1827.62,1836.42,164720,0,0
2023-02-17 08:00:00,1835.22,1843.63,1818.93,1841.96,164562,0,0
2023-02-20 08:00:00,1841.27,1847.52,1837.31,1841.24,90227,0,0
2023-02-21 08:00:00,1842.25,1843.87,1830.25,1834.94,154483,0,0
2023-02-22 08:00:00,1834.97,1846.02,1823.54,1825.18,157447,0,0
2023-02-23 08:00:00,1825.47,1833.79,1817.54,1822.28,154047,0,0
2023-02-24 08:00:00,1822.92,1827.85,1808.97,1811.19,161544,0,0
2023-02-27 08:00:00,1812.02,1820.14,1806.68,1817.22,147215,0,0
2023-02-28 08:00:00,1817.24,1831.17,1804.8,1826.68,149660,0,0
2023-03-01 08:00:00,1826.87,1844.62,1823.09,1836.61,159025,0,0
2023-03-02 08:00:00,1837.55,1838.99,1830.01,1835.65,150385,0,0
2023-03-03 08:00:00,1836.27,1856.34,1836.27,1854.68,142484,0,0
2023-03-06 08:00:00,1853.77,1858.31,1845.11,1846.6,135933,0,0
2023-03-07 08:00:00,1846.02,1851.67,1812.74,1813.02,153711,0,0
2023-03-08 08:00:00,1813.99,1824.28,1809.42,1813.85,150661,0,0
2023-03-09 08:00:00,1814.5,1835.63,1811.95,1830.79,140354,0,0
2023-03-10 08:00:00,1830.93,1870.14,1827.75,1867.33,203319,0,0
2023-03-13 08:00:00,1883.06,1914.6,1871.53,1913.52,294746,0,0
2023-03-14 08:00:00,1911.97,1914.15,1895.46,1903.92,227785,0,0
2023-03-15 08:00:00,1904.36,1937.36,1885.68,1918.15,248471,0,0
2023-03-16 08:00:00,1918.96,1933.49,1907.53,1919.35,236714,0,0
2023-03-17 08:00:00,1919.77,1987.72,1918.25,1986.14,217545,0,0
2023-03-20 08:00:00,1985.4,2009.75,1965.85,1978.83,257655,0,0
2023-03-20 11:00:00,1977.11,1978.42,1971.85,1972.14,7414,0,0
2023-03-20 12:00:00,1972.15,1972.7,1968.13,1969.53,11284,0,0
2023-03-20 13:00:00,1969.56,1975.48,1969.23,1974.84,7705,0,0
2023-03-20 14:00:00,1974.85,1975.41,1972.48,1973.29,6907,0,0
2023-03-20 15:00:00,1973.28,1975.47,1973.02,1974.87,5080,0,0
2023-03-20 16:00:00,1974.83,1988.61,1974.4,1987.95,6636,0,0
