file,expert,symbol,timeframe,from_date,to_date,net_profit,gross_profit,gross_loss,profit_factor,expected_payoff,sharpe_ratio,total_trades,deals,max_balance_drawdown,max_equity_drawdown,relative_balance_drawdown,relative_equity_drawdown,winning_trades,losing_trades,largest_profit_trade,largest_loss_trade,average_profit_trade,average_loss_trade
/Users/ch/Documents/Codex/2026-06-14/chenhong1875435468-trading-https-github-com-chenhong1875435468/backtest/final/final_recoveryday2_valid_20250601_20260606.htm,XAUUSD_Regime_EA,XAUUSD,M15,2025.06.01,2026.06.06,228.39,304.92,-76.53,3.98,6.92,22.09,33,66,23.85,42.66,17.6,28.61,23,10,60.68,-12.18,13.26,-7.49
/Users/ch/Documents/Codex/2026-06-14/chenhong1875435468-trading-https-github-com-chenhong1875435468/backtest/final/final_recoveryday2_verylong_20230102_20260606.htm,XAUUSD_Regime_EA,XAUUSD,M15,2023.01.02,2026.06.06,281.79,503.88,-222.09,2.27,2.85,10.91,99,198,32.27,48.42,18.14,28.51,60,39,60.68,-18.02,8.4,-5.57
/Users/ch/Documents/Codex/2026-06-14/chenhong1875435468-trading-https-github-com-chenhong1875435468/backtest/roll/roll6m_candle2_maxlossr090_2023H1.htm,XAUUSD_Regime_EA,XAUUSD,M15,2023.01.02,2023.07.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
/Users/ch/Documents/Codex/2026-06-14/chenhong1875435468-trading-https-github-com-chenhong1875435468/backtest/roll/roll6m_candle2_maxlossr090_2023H2.htm,XAUUSD_Regime_EA,XAUUSD,M15,2023.07.01,2024.01.01,19.66,28.11,-8.45,3.33,1.79,5.62,11,22,4.25,9.15,3.64,7.68,7,4,12.51,-2.31,4.02,-1.98
/Users/ch/Documents/Codex/2026-06-14/chenhong1875435468-trading-https-github-com-chenhong1875435468/backtest/roll/roll6m_candle2_maxlossr090_2024H1.htm,XAUUSD_Regime_EA,XAUUSD,M15,2024.01.01,2024.07.01,39.68,55.23,-15.55,3.55,2.48,11.8,16,32,7.02,11.47,5.75,9.01,11,5,16.26,-5.06,5.02,-2.95
/Users/ch/Documents/Codex/2026-06-14/chenhong1875435468-trading-https-github-com-chenhong1875435468/backtest/roll/roll6m_candle2_maxlossr090_2024H2.htm,XAUUSD_Regime_EA,XAUUSD,M15,2024.07.01,2025.01.01,-5.49,34.46,-39.95,0.86,-0.3,-1.89,18,36,26.01,31.88,26.01,30.37,9,9,19.52,-6.97,3.83,-4.34
/Users/ch/Documents/Codex/2026-06-14/chenhong1875435468-trading-https-github-com-chenhong1875435468/backtest/roll/roll6m_candle2_maxlossr090_2025H1.htm,XAUUSD_Regime_EA,XAUUSD,M15,2025.01.01,2025.07.01,35.38,85.26,-49.88,1.71,2.08,4.25,17,34,26.86,45.09,18.47,34.44,10,7,45.38,-16.26,8.53,-7.0
/Users/ch/Documents/Codex/2026-06-14/chenhong1875435468-trading-https-github-com-chenhong1875435468/backtest/roll/roll6m_candle2_maxlossr090_2025H2.htm,XAUUSD_Regime_EA,XAUUSD,M15,2025.07.01,2026.01.01,31.22,76.89,-45.67,1.68,1.84,4.72,17,34,23.85,42.66,20.62,28.76,11,6,60.68,-12.18,6.99,-7.47
/Users/ch/Documents/Codex/2026-06-14/chenhong1875435468-trading-https-github-com-chenhong1875435468/backtest/roll/roll6m_candle2_maxlossr090_2026H1.htm,XAUUSD_Regime_EA,XAUUSD,M15,2026.01.01,2026.06.06,183.09,212.23,-29.14,7.28,13.08,19.66,14,28,16.96,41.3,5.9,14.27,11,3,49.82,-11.63,19.29,-9.48
/Users/ch/Documents/Codex/2026-06-14/chenhong1875435468-trading-https-github-com-chenhong1875435468/backtest/roll/roll6m_quality_maxlossr090_2023H1.htm,XAUUSD_Regime_EA,XAUUSD,M15,2023.01.02,2023.07.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
/Users/ch/Documents/Codex/2026-06-14/chenhong1875435468-trading-https-github-com-chenhong1875435468/backtest/roll/roll6m_quality_maxlossr090_2023H2.htm,XAUUSD_Regime_EA,XAUUSD,M15,2023.07.01,2024.01.01,19.66,28.11,-8.45,3.33,1.79,5.62,11,22,4.25,9.15,3.64,7.68,7,4,12.51,-2.31,4.02,-1.98
/Users/ch/Documents/Codex/2026-06-14/chenhong1875435468-trading-https-github-com-chenhong1875435468/backtest/roll/roll6m_quality_maxlossr090_2024H1.htm,XAUUSD_Regime_EA,XAUUSD,M15,2024.01.01,2024.07.01,43.04,58.59,-15.55,3.77,2.69,11.95,16,32,7.02,12.27,5.75,9.09,11,5,16.26,-5.06,5.33,-2.95
/Users/ch/Documents/Codex/2026-06-14/chenhong1875435468-trading-https-github-com-chenhong1875435468/backtest/roll/roll6m_quality_maxlossr090_2024H2.htm,XAUUSD_Regime_EA,XAUUSD,M15,2024.07.01,2025.01.01,-8.77,34.76,-43.53,0.8,-0.44,-3.33,20,40,29.29,31.63,29.29,31.18,10,10,19.52,-6.97,3.48,-4.25
/Users/ch/Documents/Codex/2026-06-14/chenhong1875435468-trading-https-github-com-chenhong1875435468/backtest/roll/roll6m_quality_maxlossr090_2025H1.htm,XAUUSD_Regime_EA,XAUUSD,M15,2025.01.01,2025.07.01,35.38,85.26,-49.88,1.71,2.08,4.25,17,34,26.86,45.09,18.47,34.44,10,7,45.38,-16.26,8.53,-7.0
/Users/ch/Documents/Codex/2026-06-14/chenhong1875435468-trading-https-github-com-chenhong1875435468/backtest/roll/roll6m_quality_maxlossr090_2025H2.htm,XAUUSD_Regime_EA,XAUUSD,M15,2025.07.01,2026.01.01,31.22,76.89,-45.67,1.68,1.84,4.7,17,34,23.85,42.66,20.62,28.76,11,6,60.68,-12.18,6.99,-7.47
/Users/ch/Documents/Codex/2026-06-14/chenhong1875435468-trading-https-github-com-chenhong1875435468/backtest/roll/roll6m_quality_maxlossr090_2026H1.htm,XAUUSD_Regime_EA,XAUUSD,M15,2026.01.01,2026.06.06,183.09,212.23,-29.14,7.28,13.08,19.66,14,28,16.96,41.3,5.9,14.27,11,3,49.82,-11.63,19.29,-9.48
