entry_time,direction,entry,entry_deal,entry_comment,exit_time,exit,exit_deal,profit,exit_comment,report,split,is_grid,is_trend
2024-05-23 19:45:00,SELL,2341.24,10,Trend sell v7: candle-confirme,2024-05-24 01:23:40,2332.03,11,9.21,sl 2332.03,python\reports\mt5_runs\baseline_m15_aligned_train_20240223_20250601\baseline_m15_aligned_train_20240223_20250601_report.htm,train,False,True
2024-05-29 14:15:00,SELL,2343.56,12,Trend sell v7: candle-confirme,2024-05-29 15:27:40,2343.26,13,0.3,sl 2343.26,python\reports\mt5_runs\baseline_m15_aligned_train_20240223_20250601\baseline_m15_aligned_train_20240223_20250601_report.htm,train,False,True
2024-05-31 20:25:00,SELL,2327.24,14,Trend sell v7: candle-confirme,2024-05-31 22:49:40,2326.94,15,0.3,sl 2326.94,python\reports\mt5_runs\baseline_m15_aligned_train_20240223_20250601\baseline_m15_aligned_train_20240223_20250601_report.htm,train,False,True
2024-06-07 18:30:00,SELL,2308.54,16,Trend sell v7: candle-confirme,2024-06-07 23:46:40,2292.51,17,16.03,sl 2292.51,python\reports\mt5_runs\baseline_m15_aligned_train_20240223_20250601\baseline_m15_aligned_train_20240223_20250601_report.htm,train,False,True
2024-06-12 01:05:00,BUY,2316.81,18,Trend buy v7: candle-confirmed,2024-06-12 02:16:40,2314.73,19,-2.08,sl 2314.73,python\reports\mt5_runs\baseline_m15_aligned_train_20240223_20250601\baseline_m15_aligned_train_20240223_20250601_report.htm,train,False,True
2024-06-25 07:00:00,SELL,2324.02,20,Trend sell v7: candle-confirme,2024-06-25 07:12:40,2326.6,21,-2.58,sl 2326.60,python\reports\mt5_runs\baseline_m15_aligned_train_20240223_20250601\baseline_m15_aligned_train_20240223_20250601_report.htm,train,False,True
2024-08-14 18:50:00,SELL,2443.07,22,Trend sell v7: candle-confirme,2024-08-15 03:35:00,2451.48,23,-8.41,Max loss R close,python\reports\mt5_runs\baseline_m15_aligned_train_20240223_20250601\baseline_m15_aligned_train_20240223_20250601_report.htm,train,False,True
2024-08-22 07:10:00,SELL,2500.4,24,Trend sell v7: candle-confirme,2024-08-22 08:21:40,2503.74,25,-3.34,sl 2503.74,python\reports\mt5_runs\baseline_m15_aligned_train_20240223_20250601\baseline_m15_aligned_train_20240223_20250601_report.htm,train,False,True
2024-08-27 06:50:00,SELL,2506.22,26,Trend sell v7: candle-confirme,2024-08-27 06:58:40,2509.22,27,-3.0,sl 2509.22,python\reports\mt5_runs\baseline_m15_aligned_train_20240223_20250601\baseline_m15_aligned_train_20240223_20250601_report.htm,train,False,True
2024-09-03 04:10:00,SELL,2494.4,28,Trend sell v7: candle-confirme,2024-09-03 04:26:40,2490.48,29,3.92,tp 2490.48,python\reports\mt5_runs\baseline_m15_aligned_train_20240223_20250601\baseline_m15_aligned_train_20240223_20250601_report.htm,train,False,True
2024-09-27 20:25:00,SELL,2646.94,30,Trend sell v7: candle-confirme,2024-09-27 20:50:40,2646.64,31,0.3,sl 2646.64,python\reports\mt5_runs\baseline_m15_aligned_train_20240223_20250601\baseline_m15_aligned_train_20240223_20250601_report.htm,train,False,True
2024-10-15 08:20:00,SELL,2640.96,32,Trend sell v7: candle-confirme,2024-10-15 08:37:40,2640.66,33,0.3,sl 2640.66,python\reports\mt5_runs\baseline_m15_aligned_train_20240223_20250601\baseline_m15_aligned_train_20240223_20250601_report.htm,train,False,True
2024-10-23 20:40:00,SELL,2714.45,34,Trend sell v7: candle-confirme,2024-10-24 02:37:40,2721.41,35,-6.96,sl 2721.41,python\reports\mt5_runs\baseline_m15_aligned_train_20240223_20250601\baseline_m15_aligned_train_20240223_20250601_report.htm,train,False,True
2024-10-25 13:20:00,SELL,2717.32,36,Trend sell v7: candle-confirme,2024-10-25 13:38:40,2720.8,37,-3.48,sl 2720.80,python\reports\mt5_runs\baseline_m15_aligned_train_20240223_20250601\baseline_m15_aligned_train_20240223_20250601_report.htm,train,False,True
2024-11-01 19:45:00,SELL,2741.14,38,Trend sell v7: candle-confirme,2024-11-04 01:11:40,2735.82,39,5.32,sl 2735.82,python\reports\mt5_runs\baseline_m15_aligned_train_20240223_20250601\baseline_m15_aligned_train_20240223_20250601_report.htm,train,False,True
2024-11-12 19:15:00,SELL,2593.21,40,Trend sell v7: candle-confirme,2024-11-12 20:06:40,2599.8,41,-6.59,sl 2599.80,python\reports\mt5_runs\baseline_m15_aligned_train_20240223_20250601\baseline_m15_aligned_train_20240223_20250601_report.htm,train,False,True
2024-11-13 23:50:00,SELL,2573.63,42,Trend sell v7: candle-confirme,2024-11-14 01:19:40,2577.56,43,-3.93,sl 2577.56,python\reports\mt5_runs\baseline_m15_aligned_train_20240223_20250601\baseline_m15_aligned_train_20240223_20250601_report.htm,train,False,True
2024-11-14 06:05:00,SELL,2559.72,44,Trend sell v7: candle-confirme,2024-11-14 06:51:40,2564.18,45,-4.46,sl 2564.18,python\reports\mt5_runs\baseline_m15_aligned_train_20240223_20250601\baseline_m15_aligned_train_20240223_20250601_report.htm,train,False,True
2024-11-20 02:10:00,BUY,2636.32,46,Trend buy v7: candle-confirmed,2024-11-20 03:01:40,2639.89,47,3.57,tp 2639.89,python\reports\mt5_runs\baseline_m15_aligned_train_20240223_20250601\baseline_m15_aligned_train_20240223_20250601_report.htm,train,False,True
2024-11-22 20:05:00,BUY,2708.39,48,Trend buy v7: candle-confirmed,2024-11-22 21:04:20,2708.69,49,0.3,sl 2708.69,python\reports\mt5_runs\baseline_m15_aligned_train_20240223_20250601\baseline_m15_aligned_train_20240223_20250601_report.htm,train,False,True
2024-12-02 04:20:00,SELL,2628.55,50,Trend sell v7: candle-confirme,2024-12-02 05:19:20,2628.25,51,0.3,sl 2628.25,python\reports\mt5_runs\baseline_m15_aligned_train_20240223_20250601\baseline_m15_aligned_train_20240223_20250601_report.htm,train,False,True
2024-12-05 18:30:00,SELL,2637.37,52,Trend sell v7: candle-confirme,2024-12-06 03:10:40,2618.25,53,19.12,tp 2618.25,python\reports\mt5_runs\baseline_m15_aligned_train_20240223_20250601\baseline_m15_aligned_train_20240223_20250601_report.htm,train,False,True
2024-12-09 09:30:00,BUY,2647.5,54,Trend buy v7: candle-confirmed,2024-12-09 09:37:40,2647.8,55,0.3,sl 2647.80,python\reports\mt5_runs\baseline_m15_aligned_train_20240223_20250601\baseline_m15_aligned_train_20240223_20250601_report.htm,train,False,True
2024-12-30 13:00:00,SELL,2610.51,56,Trend sell v7: candle-confirme,2024-12-30 13:11:40,2613.73,57,-3.22,sl 2613.73,python\reports\mt5_runs\baseline_m15_aligned_train_20240223_20250601\baseline_m15_aligned_train_20240223_20250601_report.htm,train,False,True
2025-01-15 22:15:00,BUY,2696.05,58,Trend buy v7: candle-confirmed,2025-01-16 02:09:40,2692.97,59,-3.08,sl 2692.97,python\reports\mt5_runs\baseline_m15_aligned_train_20240223_20250601\baseline_m15_aligned_train_20240223_20250601_report.htm,train,False,True
2025-01-27 06:35:00,SELL,2756.96,60,Trend sell v7: candle-confirme,2025-01-27 09:42:40,2752.46,61,4.5,sl 2752.46,python\reports\mt5_runs\baseline_m15_aligned_train_20240223_20250601\baseline_m15_aligned_train_20240223_20250601_report.htm,train,False,True
2025-02-24 21:15:00,BUY,2950.05,62,Trend buy v7: candle-confirmed,2025-02-25 01:13:40,2950.35,63,0.3,sl 2950.35,python\reports\mt5_runs\baseline_m15_aligned_train_20240223_20250601\baseline_m15_aligned_train_20240223_20250601_report.htm,train,False,True
2025-02-27 06:10:00,SELL,2904.77,64,Trend sell v7: candle-confirme,2025-02-27 07:18:40,2893.01,65,11.76,tp 2893.01,python\reports\mt5_runs\baseline_m15_aligned_train_20240223_20250601\baseline_m15_aligned_train_20240223_20250601_report.htm,train,False,True
2025-03-03 14:05:00,BUY,2876.19,66,Trend buy v7: candle-confirmed,2025-03-03 15:06:40,2872.08,67,-4.11,sl 2872.08,python\reports\mt5_runs\baseline_m15_aligned_train_20240223_20250601\baseline_m15_aligned_train_20240223_20250601_report.htm,train,False,True
2025-04-04 12:45:00,SELL,3088.13,68,Trend sell v7: candle-confirme,2025-04-04 13:03:20,3095.49,69,-7.36,sl 3095.49,python\reports\mt5_runs\baseline_m15_aligned_train_20240223_20250601\baseline_m15_aligned_train_20240223_20250601_report.htm,train,False,True
2025-04-07 18:15:00,SELL,2984.73,70,Trend sell v7: candle-confirme,2025-04-07 22:37:40,2978.83,71,5.9,sl 2978.83,python\reports\mt5_runs\baseline_m15_aligned_train_20240223_20250601\baseline_m15_aligned_train_20240223_20250601_report.htm,train,False,True
2025-04-08 22:40:00,SELL,2976.97,72,Trend sell v7: candle-confirme,2025-04-08 22:53:40,2985.61,73,-8.64,sl 2985.61,python\reports\mt5_runs\baseline_m15_aligned_train_20240223_20250601\baseline_m15_aligned_train_20240223_20250601_report.htm,train,False,True
2025-04-22 22:35:00,SELL,3368.56,74,Trend sell v7: candle-confirme,2025-04-23 01:05:40,3323.58,75,44.98,tp 3323.58,python\reports\mt5_runs\baseline_m15_aligned_train_20240223_20250601\baseline_m15_aligned_train_20240223_20250601_report.htm,train,False,True
2025-04-23 18:20:00,SELL,3275.19,76,Trend sell v7: candle-confirme,2025-04-23 19:20:00,3291.68,77,-16.49,Max loss R close,python\reports\mt5_runs\baseline_m15_aligned_train_20240223_20250601\baseline_m15_aligned_train_20240223_20250601_report.htm,train,False,True
2025-05-01 06:10:00,SELL,3237.21,78,Trend sell v7: candle-confirme,2025-05-01 08:46:40,3236.91,79,0.3,sl 3236.91,python\reports\mt5_runs\baseline_m15_aligned_train_20240223_20250601\baseline_m15_aligned_train_20240223_20250601_report.htm,train,False,True
2025-05-02 21:45:00,SELL,3225.14,80,Trend sell v7: candle-confirme,2025-05-02 23:14:40,3235.92,81,-10.78,sl 3235.92,python\reports\mt5_runs\baseline_m15_aligned_train_20240223_20250601\baseline_m15_aligned_train_20240223_20250601_report.htm,train,False,True
2025-05-08 22:05:00,SELL,3304.9,82,Trend sell v7: candle-confirme,2025-05-08 22:45:40,3304.6,83,0.3,sl 3304.60,python\reports\mt5_runs\baseline_m15_aligned_train_20240223_20250601\baseline_m15_aligned_train_20240223_20250601_report.htm,train,False,True
2025-05-12 03:45:00,SELL,3274.47,84,Trend sell v7: candle-confirme,2025-05-12 04:41:40,3274.17,85,0.3,sl 3274.17,python\reports\mt5_runs\baseline_m15_aligned_train_20240223_20250601\baseline_m15_aligned_train_20240223_20250601_report.htm,train,False,True
2025-05-14 06:15:00,SELL,3229.25,86,Trend sell v7: candle-confirme,2025-05-14 07:33:40,3228.95,87,0.3,sl 3228.95,python\reports\mt5_runs\baseline_m15_aligned_train_20240223_20250601\baseline_m15_aligned_train_20240223_20250601_report.htm,train,False,True
2025-05-20 13:45:00,BUY,3236.42,88,Trend buy v7: candle-confirmed,2025-05-20 15:12:40,3236.72,89,0.3,sl 3236.72,python\reports\mt5_runs\baseline_m15_aligned_train_20240223_20250601\baseline_m15_aligned_train_20240223_20250601_report.htm,train,False,True
2026-01-08 06:45:00,SELL,4432.05,2,Trend sell v7: candle-confirme,2026-01-08 07:57:40,4427.91,3,4.14,sl 4427.91,python\reports\mt5_runs\baseline_m15_aligned_valid_20260101_20260612\baseline_m15_aligned_valid_20260101_20260612_report.htm,valid,False,True
2026-03-12 20:35:00,SELL,5111.89,4,Trend sell v7: candle-confirme,2026-03-12 23:30:40,5062.07,5,49.82,tp 5062.07,python\reports\mt5_runs\baseline_m15_aligned_valid_20260101_20260612\baseline_m15_aligned_valid_20260101_20260612_report.htm,valid,False,True
2026-03-18 13:05:00,SELL,4989.02,6,Trend sell v7: candle-confirme,2026-03-18 13:35:40,4962.08,7,26.94,tp 4962.08,python\reports\mt5_runs\baseline_m15_aligned_valid_20260101_20260612\baseline_m15_aligned_valid_20260101_20260612_report.htm,valid,False,True
2026-03-26 22:30:00,SELL,4380.57,8,Trend sell v7: candle-confirme,2026-03-26 23:11:40,4377.34,9,3.23,sl 4377.34,python\reports\mt5_runs\baseline_m15_aligned_valid_20260101_20260612\baseline_m15_aligned_valid_20260101_20260612_report.htm,valid,False,True
