entry_time,direction,entry,entry_deal,entry_comment,exit_time,exit,exit_deal,profit,exit_comment,report,split,is_grid,is_trend,feature_time,entry_hour,entry_weekday,profit_positive,side,setup,adx,rsi,atr,choppiness,efficiency,ema_gap_atr,di_gap,vwap_deviation_atr,trend_distance_atr,higher_ema_up,higher_ema_down
2025-09-30 22:20:00,BUY,3851.56,22,Trend buy v7: candle-confirmed,2025-09-30 22:55:40,3860.07,23,8.51,tp 3860.07,python\reports\mt5_runs\baseline_m15_aligned_test_20250601_20260101\baseline_m15_aligned_test_20250601_20260101_report.htm,test,False,True,2025-10-01 06:20:00,22,Tuesday,True,BUY,trend,29.108246508380233,74.26290189564517,4.882574519264117,46.80780463662671,0.5512271133619128,1.143995975929921,23.151541920768885,2.91352206478262,2.1546000502539,True,False
2025-10-02 14:20:00,BUY,3885.1,24,Trend buy v7: candle-confirmed,2025-10-02 15:14:20,3885.4,25,0.3,sl 3885.40,python\reports\mt5_runs\baseline_m15_aligned_test_20250601_20260101\baseline_m15_aligned_test_20250601_20260101_report.htm,test,False,True,2025-10-02 22:20:00,14,Thursday,True,BUY,trend,55.03284101369134,70.59868877377363,4.4084716252624245,42.55565281321547,0.5202492211838099,1.0773669198077787,23.625098745634123,3.513736385375348,1.7396124325405462,True,False
2025-10-09 13:55:00,BUY,4041.85,26,Trend buy v7: candle-confirmed,2025-10-09 14:02:40,4042.15,27,0.3,sl 4042.15,python\reports\mt5_runs\baseline_m15_aligned_test_20250601_20260101\baseline_m15_aligned_test_20250601_20260101_report.htm,test,False,True,2025-10-09 21:55:00,13,Thursday,True,BUY,trend,24.554620382593136,76.35980980551547,4.172062354361,43.217309482096574,0.627811860940708,0.6410277219084244,19.764072774057794,2.1473620202799797,1.896023664430201,True,False
2025-10-21 13:20:00,SELL,4251.81,28,Trend sell v7: candle-confirme,2025-10-21 14:16:40,4272.73,29,-20.92,sl 4272.73,python\reports\mt5_runs\baseline_m15_aligned_test_20250601_20260101\baseline_m15_aligned_test_20250601_20260101_report.htm,test,False,True,2025-10-21 21:20:00,13,Tuesday,False,SELL,trend,71.17590423705475,36.99837370255239,15.16500289735042,35.583318395754674,0.45892367791965205,1.5424782236481056,35.41161350050504,-4.29904868874379,1.7084683841641972,False,True
2025-10-27 02:30:00,SELL,4074.55,30,Trend sell v7: candle-confirme,2025-10-27 03:33:40,4074.25,31,0.3,sl 4074.25,python\reports\mt5_runs\baseline_m15_aligned_test_20250601_20260101\baseline_m15_aligned_test_20250601_20260101_report.htm,test,False,True,2025-10-27 10:30:00,2,Monday,True,SELL,trend,45.61106516328085,18.437641734127766,13.553354729430232,45.77926528351179,0.6067517072542171,0.35162458221887055,35.28724250411881,-1.2659132822120234,2.103305056270315,False,True
2025-11-18 06:20:00,SELL,4007.39,32,Trend sell v7: candle-confirme,2025-11-18 07:21:40,4019.57,33,-12.18,sl 4019.57,python\reports\mt5_runs\baseline_m15_aligned_test_20250601_20260101\baseline_m15_aligned_test_20250601_20260101_report.htm,test,False,True,2025-11-18 14:20:00,6,Tuesday,False,SELL,trend,37.18662763283313,42.80986486767186,10.296088674274749,48.6786364412085,0.3015658747300239,1.5573017407080967,15.76604370635893,-2.949888733752223,0.9192540925219572,False,True
2025-12-08 18:00:00,SELL,4182.84,34,Trend sell v7: candle-confirme,2025-12-08 18:28:40,4194.36,35,-11.52,sl 4194.36,python\reports\mt5_runs\baseline_m15_aligned_test_20250601_20260101\baseline_m15_aligned_test_20250601_20260101_report.htm,test,False,True,2025-12-09 02:00:00,18,Monday,False,SELL,trend,53.28700697334456,33.85211754014422,9.603656850413296,47.73089968969388,0.3795466526093851,0.6666864790871723,34.829547036975015,-1.0163684790438563,1.5273031535091868,False,True
2025-12-10 18:45:00,SELL,4202.38,36,Grid sell: range 2.92 ATR mean,2025-12-10 19:00:00,4205.01,37,-2.63,Max loss R close,python\reports\mt5_runs\baseline_m15_aligned_test_20250601_20260101\baseline_m15_aligned_test_20250601_20260101_report.htm,test,True,False,2025-12-11 02:45:00,18,Wednesday,False,SELL,grid,22.52981040323732,68.4521523426502,5.699169297983364,62.69104220801463,0.1562211981566742,0.35620531433629804,15.57702448829051,1.3051688029291284,1.121205098427414,False,True
2024-03-28 07:15:00,BUY,2196.53,2,Trend buy v7: candle-confirmed,2024-03-28 09:00:40,2196.83,3,0.3,sl 2196.83,python\reports\mt5_runs\baseline_m15_aligned_train_20240223_20250601\baseline_m15_aligned_train_20240223_20250601_report.htm,train,False,True,2024-03-28 15:15:00,7,Thursday,True,BUY,trend,49.118072771383666,67.21240735456985,1.8816624013886734,43.09422978670311,0.43308080808075855,1.053598918933432,20.124332311241368,2.46983969590227,1.4575059398936763,True,False
2024-04-30 07:15:00,SELL,2327.51,4,Trend sell v7: candle-confirme,2024-04-30 10:25:40,2318.62,5,8.89,tp 2318.62,python\reports\mt5_runs\baseline_m15_aligned_train_20240223_20250601\baseline_m15_aligned_train_20240223_20250601_report.htm,train,False,True,2024-04-30 15:15:00,7,Tuesday,True,SELL,trend,50.55253804707657,27.90610298586799,2.310285531544784,48.79457838637617,0.3773773773773808,1.1590477561398962,25.258529711208656,-4.314294603655035,2.099567587623682,False,True
