split,trades,net_profit,profit_factor,win_rate,max_drawdown,max_drawdown_pct,expectancy,avg_r,fast_ema_period,slow_ema_period,adx_period,trend_adx_threshold,range_adx_threshold,rsi_period,trend_buy_max_rsi,trend_sell_min_rsi,atr_period,min_atr_factor,bands_period,range_lookback_bars,range_min_width_atr,range_max_width_atr,range_ema_gap_atr,min_trend_efficiency_ratio,max_trend_choppiness,min_trend_ema_gap_atr,min_trend_di_gap,pullback_atr,breakout_buffer_atr,range_edge_buffer_atr,range_reward_risk,trend_atr_stop_multiplier,trend_reward_risk,long_trend_reward_risk,short_trend_reward_risk,max_signal_bar_atr,allow_range,allow_trend
train,214,-0.5452927720432877,0.8217026709835399,46.728971962616825,0.8348003747755115,0.8341234258764917,-0.00254809706562284,-0.043457943925233326,21,55,14,24.0,18.0,14,66.0,28.0,14,0.5,20,36,2.0,5.0,1.6,0.34,55.0,0.25,6.0,0.25,0.05,0.25,1.0,1.5,2.2,1.7,0.0,1.2,True,True
train,208,-0.5460009326866772,0.7794204348580076,47.11538461538461,0.6271578547942767,0.6266492855217379,-0.0026250044840705634,-0.04759615384615372,21,55,14,28.0,18.0,14,66.0,28.0,14,0.5,20,36,2.0,5.0,1.6,0.34,55.0,0.25,6.0,0.25,0.05,0.25,1.0,1.2,1.7,1.7,0.0,1.2,True,True
train,208,-0.5460009326866772,0.7794204348580076,47.11538461538461,0.6271578547942767,0.6266492855217379,-0.0026250044840705634,-0.04759615384615372,21,55,14,28.0,18.0,14,66.0,28.0,14,0.5,20,36,2.0,5.0,1.6,0.34,55.0,0.25,6.0,0.25,0.05,0.25,1.0,1.2,2.2,1.7,0.0,1.2,True,True
train,208,-0.5460009326866772,0.7794204348580076,47.11538461538461,0.6271578547942767,0.6266492855217379,-0.0026250044840705634,-0.04759615384615372,21,55,14,28.0,18.0,14,66.0,28.0,14,0.5,20,36,2.0,5.0,1.6,0.34,55.0,0.25,6.0,0.25,0.05,0.25,1.0,1.2,2.9,1.7,0.0,1.2,True,True
train,218,-0.546368344543596,0.8312605544470021,46.330275229357795,0.8006764025039956,0.8003086016600802,-0.002506276809833009,-0.04311926605504526,21,55,14,22.0,18.0,14,66.0,28.0,14,0.5,20,36,2.0,5.0,1.6,0.34,55.0,0.25,6.0,0.25,0.05,0.25,1.0,1.5,2.2,1.7,0.0,1.2,True,True
train,334,-0.5734911955102255,0.8717003340212983,44.91017964071856,0.9868652811994281,0.9865566719351084,-0.0017170395075156452,-0.07784431137724523,21,55,14,22.0,22.0,14,66.0,28.0,14,0.5,20,36,2.0,5.0,1.6,0.34,55.0,0.25,6.0,0.25,0.05,0.25,1.0,1.5,2.9,1.7,0.0,1.2,True,True
train,220,-0.5782801456126367,0.7954314629135842,45.909090909090914,0.6971952330589772,0.6967932491389877,-0.002628546116421076,-0.0595454545454552,21,55,14,22.0,18.0,14,66.0,28.0,14,0.5,20,36,2.0,5.0,1.6,0.34,55.0,0.25,6.0,0.25,0.05,0.25,1.0,1.0,1.7,1.7,0.0,1.2,True,True
train,218,-0.5896132613788473,0.805266290567497,45.87155963302752,0.7921029947164726,0.7916834239857513,-0.0027046479879763636,-0.055504587155963014,21,55,14,22.0,18.0,14,66.0,28.0,14,0.5,20,36,2.0,5.0,1.6,0.34,55.0,0.25,6.0,0.25,0.05,0.25,1.0,1.2,2.2,1.7,0.0,1.2,True,True
train,220,-0.5916384049727663,0.7930916936249124,45.45454545454545,0.7673165199998664,0.7668741060418292,-0.0026892654771489377,-0.06727272727272775,21,55,14,22.0,18.0,14,66.0,28.0,14,0.5,20,36,2.0,5.0,1.6,0.34,55.0,0.25,6.0,0.25,0.05,0.25,1.0,1.0,2.2,1.7,0.0,1.2,True,True
train,216,-0.6090397539293303,0.7902840877808358,45.83333333333333,0.8396891230844119,0.8390082098450716,-0.0028196284904135663,-0.06481481481481459,21,55,14,24.0,18.0,14,66.0,28.0,14,0.5,20,36,2.0,5.0,1.6,0.34,55.0,0.25,6.0,0.25,0.05,0.25,1.0,1.2,2.2,1.7,0.0,1.2,True,True
train,327,-0.609888377470645,0.8305408485198685,45.25993883792049,0.8169723905047022,0.8161576190317115,-0.0018651020717756726,-0.08623853211009189,21,55,14,28.0,22.0,14,66.0,28.0,14,0.5,20,36,2.0,5.0,1.6,0.34,55.0,0.25,6.0,0.25,0.05,0.25,1.0,1.0,1.7,1.7,0.0,1.2,True,True
train,331,-0.6242493761695892,0.8549810076553223,45.01510574018127,1.088611884809609,1.0877170213624945,-0.0018859497769473995,-0.083383685800604,21,55,14,24.0,22.0,14,66.0,28.0,14,0.5,20,36,2.0,5.0,1.6,0.34,55.0,0.25,6.0,0.25,0.05,0.25,1.0,1.5,2.9,1.7,0.0,1.2,True,True
train,214,-0.6304373134144294,0.7938624994552789,46.728971962616825,0.8348003747755115,0.8341234258764917,-0.002945968754273035,-0.0457943925233641,21,55,14,24.0,18.0,14,66.0,28.0,14,0.5,20,36,2.0,5.0,1.6,0.34,55.0,0.25,6.0,0.25,0.05,0.25,1.0,1.5,1.7,1.7,0.0,1.2,True,True
train,218,-0.6583398617459376,0.7966794665799257,46.330275229357795,0.8275033783351944,0.8271232541802389,-0.0030199076226877872,-0.047706422018347946,21,55,14,22.0,18.0,14,66.0,28.0,14,0.5,20,36,2.0,5.0,1.6,0.34,55.0,0.25,6.0,0.25,0.05,0.25,1.0,1.5,1.7,1.7,0.0,1.2,True,True
train,334,-0.6598491757501848,0.8340637058289155,44.31137724550898,1.0307892659628521,1.0297612536354679,-0.0019755963345813913,-0.09970059880239537,21,55,14,24.0,22.0,14,66.0,28.0,14,0.5,20,36,2.0,5.0,1.6,0.34,55.0,0.25,6.0,0.25,0.05,0.25,1.0,1.0,2.9,1.7,0.0,1.2,True,True
